OGC_FID,dossiernr,voorwerp_van_aanvraag,klasse,naam_inrichting,straat_inrichting,huisnr_inrichting,huisnr_tot_inrichting,bus_inrichting,district_inrichting,postnr_inrichting,gemeente_inrichting,kadastergegevens,adres_nr
1,19641,de exploitatie van een nieuwe inrichting,1,Anthonis Antoine,Florastraat,126,,,BO,2140,Antwerpen,11312_A_0017_S_016_00,Florastraat  126
2,19661,de exploitatie van een nieuwe inrichting,0,BP Belgium,Laarsebaan,1,,,ME,2170,Antwerpen,11028_A_0141_F_014_00,Laarsebaan  1
3,19662,de exploitatie van een nieuwe inrichting,2,Van Assche Gustaaf,Dichtersstraat,6,,,WI,2610,Antwerpen,11462_A_0050_H_005_00,Dichtersstraat  6
4,19663,de exploitatie van een nieuwe inrichting,1,Reynders Joseph,Berendrechtstraat,37,,,AN,2020,Antwerpen,11809_I_2411_R_007_00,Berendrechtstraat  37
5,19664,de exploitatie van een nieuwe inrichting,2,Nooyens,Leugenberg,160,,,EK,2180,Antwerpen,11014_H_0288_L_000_00,Leugenberg  160
6,19665,de exploitatie van een nieuwe inrichting,1,Akbar,Statielei,77,,,BO,2140,Antwerpen,11312_A_0071_G_007_00,Statielei  77
7,19671,de exploitatie van een nieuwe inrichting,1,A. Freyman & Van Loon,Bremenstraat,3,,,AN,2030,Antwerpen,11807_G_1543_F_002_00,Bremenstraat  3
8,19672,de exploitatie van een nieuwe inrichting,1,Elf België,Antwerpsesteenweg,135,,,HO,2660,Antwerpen,11383_B_0265_G_012_00,Antwerpsesteenweg  135
9,19673,de exploitatie van een nieuwe inrichting,1,Scheepvaart en Konstruktiebedrijf Longueville,Royerssluis,,,,AN,2030,Antwerpen,11807_G_1338_C_000_22,
10,19701,de exploitatie van een nieuwe inrichting,1,Inwes,Guldenvliesstraat,58,,,BE,2600,Antwerpen,11302_D_1290_E_019_00,Guldenvliesstraat  58
11,19711,de exploitatie van een nieuwe inrichting,1,Tyteca,Haïfastraat,11,,,AN,2030,Antwerpen,11807_G_1682_P_000_00,Haïfastraat  11
12,19712,de exploitatie van een nieuwe inrichting,2,Wouters J.H.,Lamorinièrestraat,69,71,,AN,2018,Antwerpen,11806_F_1230_Z_009_00,Lamorinièrestraat  69
13,19712,de exploitatie van een nieuwe inrichting,2,Wouters J.H.,Lamorinièrestraat,69,71,,AN,2018,Antwerpen,11806_F_1252_Z_005_00,Lamorinièrestraat  69
14,19713,de exploitatie van een nieuwe inrichting,1,Aral,'s-Herenstraat,42,,,BO,2140,Antwerpen,11006_A_0316_V_000_00,'s-Herenstraat  42
15,19721,"het veranderen van een inrichting, met precisering dat het betreft",1,BP Belgium,Laarsebaan,1,,,ME,2170,Antwerpen,11028_A_0141_F_014_00,Laarsebaan  1
16,19722,de exploitatie van een nieuwe inrichting,0,Brijsbaert G.,Provinciestraat,279,,,AN,2018,Antwerpen,11806_F_1222_M_006_00,Provinciestraat  279
17,19731,de exploitatie van een nieuwe inrichting,1,,Van Schoonbekeplein,6,,,AN,2000,Antwerpen,11002_A_0127_B_000_00,Van Schoonbekeplein  6
18,19731,de exploitatie van een nieuwe inrichting,1,,Van Schoonbekeplein,6,,,AN,2000,Antwerpen,11002_A_0130_C_000_00,Van Schoonbekeplein  6
19,19732,de exploitatie van een nieuwe inrichting,1,Kranen Michielsens,Tweemontstraat,100,102,,DE,2100,Antwerpen,11012_A_0126_B_003_00,Tweemontstraat  100
20,19732,de exploitatie van een nieuwe inrichting,1,Kranen Michielsens,Tweemontstraat,100,102,,DE,2100,Antwerpen,11012_A_0126_Y_002_00,Tweemontstraat  100
21,19741,de exploitatie van een nieuwe inrichting,2,,Churchilldok,,,,AN,2030,Antwerpen,,
22,19742,de exploitatie van een nieuwe inrichting,1,Etn John Lins,Tunnelplaats,3,7,,AN,2000,Antwerpen,11802_B_0316_S_000_00,Tunnelplaats  3
23,19743,"het veranderen van een inrichting, met precisering dat het betreft",1,Etn John Lins,Tunnelplaats,3,7,,AN,2000,Antwerpen,11802_B_0316_S_000_00,Tunnelplaats  3
24,19761,de exploitatie van een nieuwe inrichting,1,Belgian Pakhoed,Luithagen-Haven,9,,,AN,2030,Antwerpen,,Luithagen-Haven  9
25,19762,de exploitatie van een nieuwe inrichting,1,Stevedoring Company Gylsen,Zesde Havendok,,,,AN,2030,Antwerpen,11815_A_0261_R_000_00,
26,19762,de exploitatie van een nieuwe inrichting,1,Stevedoring Company Gylsen,Zesde Havendok,,,,AN,2030,Antwerpen,11815_A_0261_B_003_00,
27,19762,de exploitatie van een nieuwe inrichting,1,Stevedoring Company Gylsen,Zesde Havendok,,,,AN,2030,Antwerpen,11815_A_0261_E_003_00,
28,19762,de exploitatie van een nieuwe inrichting,1,Stevedoring Company Gylsen,Zesde Havendok,,,,AN,2030,Antwerpen,11815_A_0261_G_000_00,
29,19762,de exploitatie van een nieuwe inrichting,1,Stevedoring Company Gylsen,Zesde Havendok,,,,AN,2030,Antwerpen,11815_A_0261_F_002_00,
30,19762,de exploitatie van een nieuwe inrichting,1,Stevedoring Company Gylsen,Zesde Havendok,,,,AN,2030,Antwerpen,11815_A_0265_C_000_00,
31,19763,de exploitatie van een nieuwe inrichting,1,,Scheldelaan,420,,,AN,2040,Antwerpen,11816_F_0241_E_002_00,Scheldelaan  420
32,19764,de exploitatie van een nieuwe inrichting,2,Hessenatie,Bellestraat,24,34,,AN,2030,Antwerpen,11816_A_0210_A_000_05,Bellestraat  24
33,19764,de exploitatie van een nieuwe inrichting,2,Hessenatie,Bellestraat,24,34,,AN,2030,Antwerpen,11816_C_0188_G_003_00,Bellestraat  24
34,19764,de exploitatie van een nieuwe inrichting,2,Hessenatie,Bellestraat,24,34,,AN,2030,Antwerpen,11816_C_0188_G_004_00,Bellestraat  24
35,19764,de exploitatie van een nieuwe inrichting,2,Hessenatie,Bellestraat,24,34,,AN,2030,Antwerpen,11816_C_0188_L_003_00,Bellestraat  24
36,19764,de exploitatie van een nieuwe inrichting,2,Hessenatie,Bellestraat,24,34,,AN,2030,Antwerpen,11816_C_0188_L_004_00,Bellestraat  24
37,19764,de exploitatie van een nieuwe inrichting,2,Hessenatie,Bellestraat,24,34,,AN,2030,Antwerpen,11816_C_0188_M_004_00,Bellestraat  24
38,19771,springstoffen klasse 2,2,,Lombardenvest,8,10,,AN,2000,Antwerpen,11803_C_1909_D_000_00,Lombardenvest  8
39,19772,de exploitatie van een nieuwe inrichting,1,,Kanaaldok B1,,,,AN,2040,Antwerpen,11816_A_0036_F_000_00,
40,19772,de exploitatie van een nieuwe inrichting,1,,Kanaaldok B1,,,,AN,2040,Antwerpen,11818_E_0196___000_04,
41,19773,"het veranderen van een inrichting, met precisering dat het betreft",1,Universitaire Instelling Antwerpen,Universiteitsplein,1,,,WI,2610,Antwerpen,11051_C_0068_K_004_00,Universiteitsplein  1
42,19773,"het veranderen van een inrichting, met precisering dat het betreft",1,Universitaire Instelling Antwerpen,Universiteitsplein,1,,,WI,2610,Antwerpen,11051_C_0068_M_003_00,Universiteitsplein  1
43,19773,"het veranderen van een inrichting, met precisering dat het betreft",1,Universitaire Instelling Antwerpen,Universiteitsplein,1,,,WI,2610,Antwerpen,11051_C_0054_E_000_00,Universiteitsplein  1
44,19773,"het veranderen van een inrichting, met precisering dat het betreft",1,Universitaire Instelling Antwerpen,Universiteitsplein,1,,,WI,2610,Antwerpen,11051_C_0048_E_000_00,Universiteitsplein  1
45,19773,"het veranderen van een inrichting, met precisering dat het betreft",1,Universitaire Instelling Antwerpen,Universiteitsplein,1,,,WI,2610,Antwerpen,11051_C_0039_A_002_00,Universiteitsplein  1
46,19773,"het veranderen van een inrichting, met precisering dat het betreft",1,Universitaire Instelling Antwerpen,Universiteitsplein,1,,,WI,2610,Antwerpen,11051_C_0038_R_002_00,Universiteitsplein  1
47,19773,"het veranderen van een inrichting, met precisering dat het betreft",1,Universitaire Instelling Antwerpen,Universiteitsplein,1,,,WI,2610,Antwerpen,11051_C_0048_G_000_00,Universiteitsplein  1
48,19773,"het veranderen van een inrichting, met precisering dat het betreft",1,Universitaire Instelling Antwerpen,Universiteitsplein,1,,,WI,2610,Antwerpen,11051_C_0048_F_000_00,Universiteitsplein  1
49,19773,"het veranderen van een inrichting, met precisering dat het betreft",1,Universitaire Instelling Antwerpen,Universiteitsplein,1,,,WI,2610,Antwerpen,11051_C_0048_H_000_00,Universiteitsplein  1
50,19773,"het veranderen van een inrichting, met precisering dat het betreft",1,Universitaire Instelling Antwerpen,Universiteitsplein,1,,,WI,2610,Antwerpen,11051_C_0048_D_000_00,Universiteitsplein  1
51,19774,de exploitatie van een nieuwe inrichting,2,,Klein Heiken,,,,EK,2180,Antwerpen,11014_H_0460_Z_002_00,
52,19781,de exploitatie van een nieuwe inrichting,2,,Conterscherp,130,,,ZA,2040,Antwerpen,11820_A_0174_C_000_00,Conterscherp  130
53,19781,de exploitatie van een nieuwe inrichting,2,,Conterscherp,130,,,ZA,2040,Antwerpen,11820_A_0140_A_000_00,Conterscherp  130
54,19782,de exploitatie van een nieuwe inrichting,2,,Dorpstraat,83,,,BD,2040,Antwerpen,11819_B_0186_R_000_00,Dorpstraat  83
55,19782,de exploitatie van een nieuwe inrichting,2,,Dorpstraat,83,,,BD,2040,Antwerpen,11819_B_0186_S_000_00,Dorpstraat  83
56,19783,de exploitatie van een nieuwe inrichting,1,Aral,*Verenigde Natieslaan 1/Sint-Bernardsesteenweg,,,,,2660,Antwerpen,11383_B_0636_K_000_00,
57,19791,"het veranderen van een inrichting, met precisering dat het betreft",1,Etn John Lins,Tunnelplaats,3,7,,AN,2000,Antwerpen,11802_B_0316_S_000_00,Tunnelplaats  3
58,19792,de exploitatie van een nieuwe inrichting,1,,Lange Bremstraat,70,,,ME,2170,Antwerpen,11423_B_0182_X_000_00,Lange Bremstraat  70
59,19793,"het veranderen van een inrichting, met precisering dat het betreft",1,BASF Antwerpen,Scheldelaan,600,,,AN,2040,Antwerpen,11820_A_0001_F_003_00,Scheldelaan  600
60,19794,de exploitatie van een nieuwe inrichting,1,,Muisbroeklaan,57,,,AN,2030,Antwerpen,11816_A_0039_E_000_00,Muisbroeklaan  57
61,19794,de exploitatie van een nieuwe inrichting,1,,Muisbroeklaan,57,,,AN,2030,Antwerpen,11816_A_0039_N_000_00,Muisbroeklaan  57
62,19794,de exploitatie van een nieuwe inrichting,1,,Muisbroeklaan,57,,,AN,2030,Antwerpen,11816_A_0039_P_000_00,Muisbroeklaan  57
63,19801,het hernieuwen van een vergunning voor een bestaande inrichting,1,Texaco Belgium,Dokter Van de Perrelei,48,,,BO,2140,Antwerpen,11313_B_1040_H_000_00,Dokter Van de Perrelei  48
64,19802,"het veranderen van een inrichting, met precisering dat het betreft",1,Scheepvaart en Konstruktiebedrijf Longueville,Royerssluis,,,,AN,2030,Antwerpen,11807_G_1338_C_000_22,
65,19811,de exploitatie van een nieuwe inrichting,2,Autobanden Robert Gebr.,Bredabaan,100,,,ME,2170,Antwerpen,11422_C_0010_P_003_00,Bredabaan  100
66,19812,het hernieuwen van een vergunning voor een bestaande inrichting,2,Annaert Albert,Florent Cootmansplein,2,,,BE,2600,Antwerpen,11302_A_0168_E_007_00,Florent Cootmansplein  2
67,19813,de exploitatie van een nieuwe inrichting,1,Garage Deurne Motors,Bisschoppenhoflaan,76,82,,DE,2100,Antwerpen,11342_A_0028_P_015_00,Bisschoppenhoflaan  76
68,19813,de exploitatie van een nieuwe inrichting,1,Garage Deurne Motors,Bisschoppenhoflaan,76,82,,DE,2100,Antwerpen,11342_A_0028_M_013_00,Bisschoppenhoflaan  76
69,19814,de exploitatie van een nieuwe inrichting,2,Herald Estates (Sanyo),Katwilgweg,4,,5,AN,2050,Antwerpen,11813_N_0223_N_000_00,Katwilgweg  4
70,19821,"het veranderen van een inrichting, met precisering dat het betreft",1,Autobanden Robert Gebr.,Bredabaan,100,,,ME,2170,Antwerpen,11422_C_0010_P_003_00,Bredabaan  100
71,19822,"het veranderen van een inrichting, met precisering dat het betreft",1,,Kanaaldok B1,,,,AN,2040,Antwerpen,11816_A_0036_F_000_00,
72,19822,"het veranderen van een inrichting, met precisering dat het betreft",1,,Kanaaldok B1,,,,AN,2040,Antwerpen,11818_E_0196___000_04,
73,19823,de exploitatie van een nieuwe inrichting,2,Katholieke Industriële Hogeschool Antwerpen,Salesianenlaan,30,,,HO,2660,Antwerpen,11383_B_0701_C_000_00,Salesianenlaan  30
74,19823,de exploitatie van een nieuwe inrichting,2,Katholieke Industriële Hogeschool Antwerpen,Salesianenlaan,30,,,HO,2660,Antwerpen,11383_B_0705_V_003_00,Salesianenlaan  30
75,19823,de exploitatie van een nieuwe inrichting,2,Katholieke Industriële Hogeschool Antwerpen,Salesianenlaan,30,,,HO,2660,Antwerpen,11383_B_0711_A_002_00,Salesianenlaan  30
76,19823,de exploitatie van een nieuwe inrichting,2,Katholieke Industriële Hogeschool Antwerpen,Salesianenlaan,30,,,HO,2660,Antwerpen,11383_B_0711_C_002_00,Salesianenlaan  30
77,19831,de exploitatie van een nieuwe inrichting,0,,Borrewaterstraat,2,,,ME,2170,Antwerpen,11422_C_0312_P_000_00,Borrewaterstraat  2
78,19832,de exploitatie van een nieuwe inrichting,2,Slagerij Lucas,Generaal Slingeneyerlaan,118,,,DE,2100,Antwerpen,11342_A_0240_E_014_00,Generaal Slingeneyerlaan  118
79,19833,"het veranderen van een inrichting, met precisering dat het betreft",1,Cargas,Jules Moretuslei,59,,,WI,2610,Antwerpen,11462_A_0379_A_006_00,Jules Moretuslei  59
80,19834,de exploitatie van een nieuwe inrichting,1,Frans Van Beylen,Hertstraat,5,,,DE,2100,Antwerpen,11343_A_0778_F_000_00,Hertstraat  5
81,19835,de exploitatie van een nieuwe inrichting,2,Goudblomme vzw,Sint-Jacobsmarkt,38,,,AN,2000,Antwerpen,11802_B_1616_D_000_00,Sint-Jacobsmarkt  38
82,19841,de exploitatie van een nieuwe inrichting,3,Vema,Terbekehofdreef,6,8,,WI,2610,Antwerpen,11463_D_0270_K_000_00,Terbekehofdreef  6
83,19842,"het veranderen van een inrichting, met precisering dat het betreft",2,Vema,Terbekehofdreef,2013/08/06,,,WI,2610,Antwerpen,11463_D_0270_K_000_00,Terbekehofdreef  2013/08/06
84,19843,de exploitatie van een nieuwe inrichting,2,Neon,Statielei,53,55,,BO,2140,Antwerpen,11312_A_0071_H_007_00,Statielei  53
85,19844,de exploitatie van een nieuwe inrichting,2,Crikemans Frans,Du Chastellei,78,,,ME,2170,Antwerpen,11423_B_0323_E_002_00,Du Chastellei  78
86,19844,de exploitatie van een nieuwe inrichting,2,Crikemans Frans,Du Chastellei,78,,,ME,2170,Antwerpen,11423_B_0323_F_002_00,Du Chastellei  78
87,19845,springstoffen klasse 1,1,,Schansstraat,,,,HO,2660,Antwerpen,11382_C_0691_X_000_00,
88,19851,de exploitatie van een nieuwe inrichting,2,Hamvas Janos,Schoenstraat,26,,,BO,2140,Antwerpen,11006_A_0582_P_004_00,Schoenstraat  26
89,19852,de exploitatie van een nieuwe inrichting,1,Driessens Walter,Zoutedijk,1,,,ZA,2040,Antwerpen,11820_D_0136_H_000_00,Zoutedijk  1
90,19853,de exploitatie van een nieuwe inrichting,2,Dillemans Marc,Lange Beeldekensstraat,166,,,AN,2060,Antwerpen,11805_E_0696_S_002_00,Lange Beeldekensstraat  166
91,19854,"het veranderen van een inrichting, met precisering dat het betreft",1,De Vlijt,Katwilgweg,2,,,AN,2050,Antwerpen,11813_N_0223_T_002_00,Katwilgweg  2
92,19861,de exploitatie van een nieuwe inrichting,2,Matterne Firmin,Pierre Van den Eedenstraat,15,,,HO,2660,Antwerpen,11382_A_0328_S_003_00,Pierre Van den Eedenstraat  15
93,19862,"het veranderen van een inrichting, met precisering dat het betreft",1,Etn John Lins,Tunnelplaats,3,7,,AN,2000,Antwerpen,11802_B_0316_S_000_00,Tunnelplaats  3
94,19863,de exploitatie van een nieuwe inrichting,1,Seca,Provinciestraat,80,82,,AN,2018,Antwerpen,11808_H_1101_T_004_00,Provinciestraat  80
95,19864,de exploitatie van een nieuwe inrichting,1,Ablaer,Desguinlei,94,,,AN,2018,Antwerpen,11810_K_2181_E_002_00,Desguinlei  94
96,19872,de exploitatie van een nieuwe inrichting,2,,Laaglandlaan,76,80,,ME,2170,Antwerpen,11422_C_0136_X_002_00,Laaglandlaan  76
97,19872,de exploitatie van een nieuwe inrichting,2,,Laaglandlaan,76,80,,ME,2170,Antwerpen,11422_C_0136_H_002_00,Laaglandlaan  76
98,19873,de exploitatie van een nieuwe inrichting,2,Verlinde Delva,Brederodestraat,32,34,,AN,2018,Antwerpen,11811_L_3609_P_000_00,Brederodestraat  32
99,19874,de exploitatie van een nieuwe inrichting,1,Antwerpse Automobielmaatschappij,Kempischdok-Westkaai,101,,,AN,2000,Antwerpen,11807_G_0157___000_12,Kempischdok-Westkaai  101
100,19874,de exploitatie van een nieuwe inrichting,1,Antwerpse Automobielmaatschappij,Kempischdok-Westkaai,101,,,AN,2000,Antwerpen,11807_G_0157___000_13,Kempischdok-Westkaai  101
101,19874,de exploitatie van een nieuwe inrichting,1,Antwerpse Automobielmaatschappij,Kempischdok-Westkaai,101,,,AN,2000,Antwerpen,11807_G_0157___000_14,Kempischdok-Westkaai  101
102,19875,het hernieuwen van een vergunning voor een bestaande inrichting,1,Drukkerij en Publiciteit Brabo,Ossenmarkt,25,26,,AN,2000,Antwerpen,11802_B_1867_E_000_00,Ossenmarkt  25
103,19876,de exploitatie van een nieuwe inrichting,1,Samga,Boerinnestraat,2,,,AN,2030,Antwerpen,11807_G_1332_M_000_12,Boerinnestraat  2
104,19876,de exploitatie van een nieuwe inrichting,1,Samga,Boerinnestraat,2,,,AN,2030,Antwerpen,11807_G_1332_M_000_15,Boerinnestraat  2
105,19876,de exploitatie van een nieuwe inrichting,1,Samga,Boerinnestraat,2,,,AN,2030,Antwerpen,11807_G_1332_P_000_15,Boerinnestraat  2
106,19876,de exploitatie van een nieuwe inrichting,1,Samga,Boerinnestraat,2,,,AN,2030,Antwerpen,11807_G_1331_X_000_00,Boerinnestraat  2
107,19876,de exploitatie van een nieuwe inrichting,1,Samga,Boerinnestraat,2,,,AN,2030,Antwerpen,11807_G_1331_T_000_00,Boerinnestraat  2
108,19876,de exploitatie van een nieuwe inrichting,1,Samga,Boerinnestraat,2,,,AN,2030,Antwerpen,11807_G_1338_A_000_23,Boerinnestraat  2
109,19877,de exploitatie van een nieuwe inrichting,2,Goudblomme vzw,Oever,14,,,AN,2000,Antwerpen,11804_D_3389_L_000_00,Oever  14
110,19881,de exploitatie van een nieuwe inrichting,1,,Oostkaai,9,,,ME,2170,Antwerpen,11422_C_0293_Z_005_00,Oostkaai  9
111,19882,de exploitatie van een nieuwe inrichting,1,Carrosserie Krekels Franken,Heirmanstraat,59,,,ME,2170,Antwerpen,11422_C_0423_T_010_00,Heirmanstraat  59
112,19883,de exploitatie van een nieuwe inrichting,1,Truyens en Zonen,Oostkaai,24,,,ME,2170,Antwerpen,11422_C_0276_C_003_00,Oostkaai  24
113,19884,de exploitatie van een nieuwe inrichting,2,Michielsen Lodewijk,Anselmostraat,43,,,AN,2018,Antwerpen,11810_K_2760_M_007_00,Anselmostraat  43
114,19885,de exploitatie van een nieuwe inrichting,2,Beenhouwerij Albert,Gasstraat,122,,,AN,2060,Antwerpen,11805_E_0490_E_023_00,Gasstraat  122
115,19886,de exploitatie van een nieuwe inrichting,2,Pauwels Martha,Sint-Jansplein,35,,,AN,2060,Antwerpen,11805_E_0523_Z_000_00,Sint-Jansplein  35
116,19887,de exploitatie van een nieuwe inrichting,2,Kärcher nv,Kernenergiestraat,14,16,,WI,2610,Antwerpen,11463_D_0326_W_002_00,Kernenergiestraat  14
117,19888,de exploitatie van een nieuwe inrichting,1,Ditmar,Carnotstraat,56,,,AN,2060,Antwerpen,11808_H_1018_B_000_00,Carnotstraat  56
118,19889,de exploitatie van een nieuwe inrichting,2,,Markgravelei,41,,,AN,2018,Antwerpen,11810_K_1780_E_002_00,Markgravelei  41
119,19889,de exploitatie van een nieuwe inrichting,2,,Markgravelei,41,,,AN,2018,Antwerpen,11810_K_1780_F_002_00,Markgravelei  41
120,19891,de exploitatie van een nieuwe inrichting,1,,Van Duyststraat,52,,,DE,2100,Antwerpen,11012_A_0016_E_015_00,Van Duyststraat  52
121,19891,de exploitatie van een nieuwe inrichting,1,,Van Duyststraat,52,,,DE,2100,Antwerpen,11012_A_0016_Y_016_00,Van Duyststraat  52
122,19892,de exploitatie van een nieuwe inrichting,1,,Mechanicalaan,6,8,,WI,2610,Antwerpen,11463_D_0176_G_003_00,Mechanicalaan  6
123,19893,de exploitatie van een nieuwe inrichting,1,,Boomsesteenweg,364,,,WI,2610,Antwerpen,11462_A_0373_R_000_00,Boomsesteenweg  364
124,19894,de exploitatie van een nieuwe inrichting,1,,Bikschotelaan,311,,,BO,2140,Antwerpen,11313_B_0877_L_005_00,Bikschotelaan  311
125,19895,de exploitatie van een nieuwe inrichting,0,,Oudebareellei,60,,,ME,2170,Antwerpen,11423_B_0308_L_006_00,Oudebareellei  60
126,19896,de exploitatie van een nieuwe inrichting,2,Geerts Patrick,Moeshofstraat,150,,,ME,2170,Antwerpen,11422_C_0132_M_003_00,Moeshofstraat  150
127,19897,de exploitatie van een nieuwe inrichting,1,Belgian Pakhoed,Oosterweelsteenweg,,,,AN,2030,Antwerpen,,
