OGC_FID,dossiernr,voorwerp_van_aanvraag,klasse,naam_inrichting,straat_inrichting,huisnr_inrichting,huisnr_tot_inrichting,bus_inrichting,district_inrichting,postnr_inrichting,gemeente_inrichting,kadastergegevens,adres_nr
373,20074,bodemsanering,0,De Lijn,Putsebaan,204,,,BD,2040,Antwerpen,11820_C_0570_E_005_00,Putsebaan  204
374,20074,bodemsanering,0,De Lijn,Putsebaan,204,,,BD,2040,Antwerpen,11820_C_0570_F_005_00,Putsebaan  204
375,20075,de melding van een nieuwe inrichting,3,Heyndrickx,Turnhoutsebaan,335,,,BO,2140,Antwerpen,11312_A_0103_S_000_00,Turnhoutsebaan  335
376,20076,de melding van een nieuwe inrichting,3,P.R.T.,Kasteelstraat,58,,,AN,2000,Antwerpen,11811_L_3736_G_002_00,Kasteelstraat  58
377,20077,de melding van een nieuwe inrichting,3,,Boomsesteenweg,392,,,AN,2020,Antwerpen,11809_I_2342_B_005_00,Boomsesteenweg  392
378,20078,"de mededeling van een kleine verandering van een bestaande inrichting eerste of tweede klasse, omvattende",1,Aquafin nv,Kielsbroek,5,,,AN,2020,Antwerpen,11809_I_2652_C_000_00,Kielsbroek  5
379,20079,de melding van een nieuwe inrichting,3,,VIIde-Olympiadelaan,66,,,AN,2020,Antwerpen,11809_I_2348_R_002_00,VIIde-Olympiadelaan  66
380,20079,de melding van een nieuwe inrichting,3,,VIIde-Olympiadelaan,66,,,AN,2020,Antwerpen,11809_I_2348_V_002_00,VIIde-Olympiadelaan  66
381,20081,bodemsanering,0,Umicore nv,Adolf Greinerstraat,14,,,HO,2660,Antwerpen,11382_C_0593___000_00,Adolf Greinerstraat  14
382,20081,bodemsanering,0,Umicore nv,Adolf Greinerstraat,14,,,HO,2660,Antwerpen,11382_C_0594___000_00,Adolf Greinerstraat  14
383,20081,bodemsanering,0,Umicore nv,Adolf Greinerstraat,14,,,HO,2660,Antwerpen,11382_C_0595_A_000_00,Adolf Greinerstraat  14
384,20081,bodemsanering,0,Umicore nv,Adolf Greinerstraat,14,,,HO,2660,Antwerpen,11382_C_0600_E_000_00,Adolf Greinerstraat  14
385,20081,bodemsanering,0,Umicore nv,Adolf Greinerstraat,14,,,HO,2660,Antwerpen,11382_C_0584_T_000_00,Adolf Greinerstraat  14
386,20081,bodemsanering,0,Umicore nv,Adolf Greinerstraat,14,,,HO,2660,Antwerpen,11382_C_0582_F_000_00,Adolf Greinerstraat  14
387,20081,bodemsanering,0,Umicore nv,Adolf Greinerstraat,14,,,HO,2660,Antwerpen,11382_C_0583_H_000_00,Adolf Greinerstraat  14
388,20081,bodemsanering,0,Umicore nv,Adolf Greinerstraat,14,,,HO,2660,Antwerpen,11382_C_0584_Y_000_00,Adolf Greinerstraat  14
389,20081,bodemsanering,0,Umicore nv,Adolf Greinerstraat,14,,,HO,2660,Antwerpen,11382_C_0597_C_000_00,Adolf Greinerstraat  14
390,20081,bodemsanering,0,Umicore nv,Adolf Greinerstraat,14,,,HO,2660,Antwerpen,11382_C_0596_H_000_00,Adolf Greinerstraat  14
391,20081,bodemsanering,0,Umicore nv,Adolf Greinerstraat,14,,,HO,2660,Antwerpen,11382_C_0599_H_000_00,Adolf Greinerstraat  14
392,20081,bodemsanering,0,Umicore nv,Adolf Greinerstraat,14,,,HO,2660,Antwerpen,11382_C_0515_E_000_00,Adolf Greinerstraat  14
393,20081,bodemsanering,0,Umicore nv,Adolf Greinerstraat,14,,,HO,2660,Antwerpen,11382_C_0517_B_000_00,Adolf Greinerstraat  14
394,20081,bodemsanering,0,Umicore nv,Adolf Greinerstraat,14,,,HO,2660,Antwerpen,11382_C_0521_D_000_00,Adolf Greinerstraat  14
395,20081,bodemsanering,0,Umicore nv,Adolf Greinerstraat,14,,,HO,2660,Antwerpen,11382_C_0516_K_000_00,Adolf Greinerstraat  14
396,20081,bodemsanering,0,Umicore nv,Adolf Greinerstraat,14,,,HO,2660,Antwerpen,11382_C_0526_L_000_00,Adolf Greinerstraat  14
397,20081,bodemsanering,0,Umicore nv,Adolf Greinerstraat,14,,,HO,2660,Antwerpen,11382_C_0526_M_000_00,Adolf Greinerstraat  14
398,20081,bodemsanering,0,Umicore nv,Adolf Greinerstraat,14,,,HO,2660,Antwerpen,11382_C_0526_N_000_00,Adolf Greinerstraat  14
399,20081,bodemsanering,0,Umicore nv,Adolf Greinerstraat,14,,,HO,2660,Antwerpen,11382_C_0525_T_000_00,Adolf Greinerstraat  14
400,20081,bodemsanering,0,Umicore nv,Adolf Greinerstraat,14,,,HO,2660,Antwerpen,11382_C_0524_C_000_00,Adolf Greinerstraat  14
401,20081,bodemsanering,0,Umicore nv,Adolf Greinerstraat,14,,,HO,2660,Antwerpen,11382_C_0507_P_000_00,Adolf Greinerstraat  14
402,20081,bodemsanering,0,Umicore nv,Adolf Greinerstraat,14,,,HO,2660,Antwerpen,11382_C_0516_N_000_00,Adolf Greinerstraat  14
403,20081,bodemsanering,0,Umicore nv,Adolf Greinerstraat,14,,,HO,2660,Antwerpen,11382_C_0520_R_000_00,Adolf Greinerstraat  14
404,20081,bodemsanering,0,Umicore nv,Adolf Greinerstraat,14,,,HO,2660,Antwerpen,11382_C_0557_F_004_00,Adolf Greinerstraat  14
405,20081,bodemsanering,0,Umicore nv,Adolf Greinerstraat,14,,,HO,2660,Antwerpen,11382_C_0557_D_004_00,Adolf Greinerstraat  14
406,20081,bodemsanering,0,Umicore nv,Adolf Greinerstraat,14,,,HO,2660,Antwerpen,11382_C_0516_M_000_00,Adolf Greinerstraat  14
407,20081,bodemsanering,0,Umicore nv,Adolf Greinerstraat,14,,,HO,2660,Antwerpen,11382_C_0557_E_004_00,Adolf Greinerstraat  14
408,20081,bodemsanering,0,Umicore nv,Adolf Greinerstraat,14,,,HO,2660,Antwerpen,11382_C_0552_Z_002_00,Adolf Greinerstraat  14
409,20081,bodemsanering,0,Umicore nv,Adolf Greinerstraat,14,,,HO,2660,Antwerpen,11382_C_0242_T_022_00,Adolf Greinerstraat  14
410,20081,bodemsanering,0,Umicore nv,Adolf Greinerstraat,14,,,HO,2660,Antwerpen,11382_C_0244_C_005_00,Adolf Greinerstraat  14
411,20081,bodemsanering,0,Umicore nv,Adolf Greinerstraat,14,,,HO,2660,Antwerpen,11382_C_0242_T_023_00,Adolf Greinerstraat  14
412,20081,bodemsanering,0,Umicore nv,Adolf Greinerstraat,14,,,HO,2660,Antwerpen,11382_C_0244___000_02,Adolf Greinerstraat  14
413,20081,bodemsanering,0,Umicore nv,Adolf Greinerstraat,14,,,HO,2660,Antwerpen,11382_C_0243_E_003_00,Adolf Greinerstraat  14
414,20081,bodemsanering,0,Umicore nv,Adolf Greinerstraat,14,,,HO,2660,Antwerpen,11382_C_0010_R_002_00,Adolf Greinerstraat  14
415,20082,het hernieuwen van een vergunning voor een bestaande inrichting,2,Frigo nv,Lange Lobroekstraat,120,,,AN,2060,Antwerpen,11807_G_0333_B_003_00,Lange Lobroekstraat  120
416,20083,de melding van een nieuwe inrichting,3,Stroykens Peter,Helmstraat,142,,,BO,2140,Antwerpen,11312_A_1004_W_011_00,Helmstraat  142
417,20084,de melding van een nieuwe inrichting,3,Euro - As,Oostkaai,2013/07/25,,,ME,2170,Antwerpen,11422_C_0276_F_003_00,Oostkaai  2013/07/25
418,20085,"de mededeling van een kleine verandering van een bestaande inrichting eerste of tweede klasse, omvattende",1,ExxonMobil Petroleum & Chemical bvba,Leugenberg,204,,,EK,2180,Antwerpen,11014_H_0275_B_000_00,Leugenberg  204
419,20086,"het veranderen van een inrichting, met precisering dat het betreft",1,,Tijsmanstunnel-West,,,,AN,2040,Antwerpen,11818_F_0114_C_000_00,
420,20086,"het veranderen van een inrichting, met precisering dat het betreft",1,,Tijsmanstunnel-West,,,,AN,2040,Antwerpen,11818_F_0114_D_000_00,
421,20086,"het veranderen van een inrichting, met precisering dat het betreft",1,,Tijsmanstunnel-West,,,,AN,2040,Antwerpen,11818_F_0114_G_000_00,
422,20086,"het veranderen van een inrichting, met precisering dat het betreft",1,,Tijsmanstunnel-West,,,,AN,2040,Antwerpen,11818_F_0114_F_000_00,
423,20086,"het veranderen van een inrichting, met precisering dat het betreft",1,,Tijsmanstunnel-West,,,,AN,2040,Antwerpen,11818_F_0114_H_000_00,
424,20086,"het veranderen van een inrichting, met precisering dat het betreft",1,,Tijsmanstunnel-West,,,,AN,2040,Antwerpen,11818_F_0114_K_000_00,
425,20087,de melding van een nieuwe inrichting,3,Jimila,Begijnenstraat,95,,,AN,2000,Antwerpen,11804_D_1986_R_004_00,Begijnenstraat  95
426,20088,ioniserende stralingen klasse 3,3,,Zilversmidstraat,5,,,AN,2000,Antwerpen,11002_A_1446_F_000_00,Zilversmidstraat  5
427,20089,ioniserende stralingen klasse 3,3,,Grotesteenweg,335,,,BE,2600,Antwerpen,11303_C_0239_A_002_00,Grotesteenweg  335
428,20091,het hernieuwen van een vergunning voor een bestaande inrichting,1,BASF Antwerpen,Scheldelaan,600,,,BZL,2040,Antwerpen,11820_D_0009_Z_000_00,Scheldelaan  600
429,20092,de exploitatie van een nieuwe inrichting,1,VLEEMO nv,Moerstraat,99,,,AN,2030,Antwerpen,11818_D_0191_B_000_00,Moerstraat  99
430,20093,de melding van een nieuwe inrichting,3,lavamet,Lange Lobroekstraat,200,,,AN,2060,Antwerpen,11807_G_0300_X_003_00,Lange Lobroekstraat  200
431,20094,de melding van een nieuwe inrichting,3,Rodax nv,Santvoortbeeklaan,33,,,DE,2100,Antwerpen,11012_A_0271_S_000_00,Santvoortbeeklaan  33
432,20095,de melding van een nieuwe inrichting,3,Willems Joris,Sint-Jobstraat,45,,,AN,2060,Antwerpen,11807_G_0229_C_002_00,Sint-Jobstraat  45
433,20096,het hernieuwen van een vergunning voor een bestaande inrichting,2,Centraal Laboratorium Antwerpen,Frankrijklei,67,69,,AN,2000,Antwerpen,11808_H_1207_M_006_00,Frankrijklei  67
434,20097,de melding van een nieuwe inrichting,3,Cassimo,Helmstraat,10,18,,BO,2140,Antwerpen,11312_A_0873_L_000_00,Helmstraat  10
435,20098,"de mededeling van een kleine verandering van een bestaande inrichting eerste of tweede klasse, omvattende",1,Sita Recycling Services,Schomhoeveweg,1,,,AN,2030,Antwerpen,11815_D_0267_G_000_00,Schomhoeveweg  1
436,20099,de melding van een nieuwe inrichting,3,Dierckx en zn,Lange Slachterijstraat,15,19,,AN,2060,Antwerpen,11807_G_0422_Z_012_00,Lange Slachterijstraat  15
437,20099,de melding van een nieuwe inrichting,3,Dierckx en zn,Lange Slachterijstraat,15,19,,AN,2060,Antwerpen,11807_G_0422_A_013_00,Lange Slachterijstraat  15
438,20099,de melding van een nieuwe inrichting,3,Dierckx en zn,Lange Slachterijstraat,15,19,,AN,2060,Antwerpen,11807_G_0422_Y_012_00,Lange Slachterijstraat  15
439,20101,ioniserende stralingen klasse 3,3,,Gloriantlaan,26,,,AN,2050,Antwerpen,11813_N_0725_H_002_00,Gloriantlaan  26
440,20102,"het veranderen van een inrichting, met precisering dat het betreft",1,LBC,Leon Bonnetweg,28,,,AN,2030,Antwerpen,11814_C_0106_G_004_00,Leon Bonnetweg  28
441,20102,"het veranderen van een inrichting, met precisering dat het betreft",1,LBC,Leon Bonnetweg,28,,,AN,2030,Antwerpen,11814_B_0034_S_003_00,Leon Bonnetweg  28
442,20102,"het veranderen van een inrichting, met precisering dat het betreft",1,LBC,Leon Bonnetweg,28,,,AN,2030,Antwerpen,11814_B_0034_Z_002_00,Leon Bonnetweg  28
443,20103,"het veranderen van een inrichting, met precisering dat het betreft",1,Aquafin,Moerstraat,22,,,AN,2030,Antwerpen,11816_B_0048___000_02,Moerstraat  22
444,20103,"het veranderen van een inrichting, met precisering dat het betreft",1,Aquafin,Moerstraat,22,,,AN,2030,Antwerpen,11816_B_0028_L_000_00,Moerstraat  22
445,20103,"het veranderen van een inrichting, met precisering dat het betreft",1,Aquafin,Moerstraat,22,,,AN,2030,Antwerpen,11816_B_0028_K_000_00,Moerstraat  22
446,20103,"het veranderen van een inrichting, met precisering dat het betreft",1,Aquafin,Moerstraat,22,,,AN,2030,Antwerpen,11816_B_0028_E_000_00,Moerstraat  22
447,20103,"het veranderen van een inrichting, met precisering dat het betreft",1,Aquafin,Moerstraat,22,,,AN,2030,Antwerpen,11816_B_0028_H_000_00,Moerstraat  22
448,20103,"het veranderen van een inrichting, met precisering dat het betreft",1,Aquafin,Moerstraat,22,,,AN,2030,Antwerpen,11816_B_0028_G_000_00,Moerstraat  22
449,20103,"het veranderen van een inrichting, met precisering dat het betreft",1,Aquafin,Moerstraat,22,,,AN,2030,Antwerpen,11816_B_0028_C_000_00,Moerstraat  22
450,20104,de melding van de overname van een vergunde inrichting,2,,Boterlaarbaan,267,269,,DE,2100,Antwerpen,11345_B_0236_T_008_00,Boterlaarbaan  267
451,20105,wijzigen van de exploitatievoorwaarden,1,Colombus-HTC nv,*Scheldelaan - Industriedok,373,,,AN,2030,Antwerpen,11814_A_0436_X_000_00,*Scheldelaan - Industriedok  373
452,20106,de melding van een nieuwe inrichting,3,Van De Vyvere Dick,Oudaan,15,,,AN,2000,Antwerpen,11804_D_1572_E_000_00,Oudaan  15
453,20107,"het veranderen van een inrichting, met precisering dat het betreft",2,Wasserij Ideale,Kapelsesteenweg,519,,,EK,2180,Antwerpen,11364_F_0168_A_003_00,Kapelsesteenweg  519
454,20107,"het veranderen van een inrichting, met precisering dat het betreft",2,Wasserij Ideale,Kapelsesteenweg,519,,,EK,2180,Antwerpen,11364_F_0001_G_005_00,Kapelsesteenweg  519
455,20109,de melding van een nieuwe inrichting,3,Ugur Faruk,Van Halmalestraat,10,,,AN,2020,Antwerpen,11809_I_2386_P_012_00,Van Halmalestraat  10
456,20111,de melding van de overname van een vergunde inrichting,2,,Francis Wellesplein,1,,,AN,2018,Antwerpen,11810_K_1687_X_000_00,Francis Wellesplein  1
457,20112,bodemsanering,0,,Alfons Schneiderlaan,67,,,DE,2100,Antwerpen,11344_A_0457_C_015_00,Alfons Schneiderlaan  67
458,20112,bodemsanering,0,,Alfons Schneiderlaan,67,,,DE,2100,Antwerpen,11344_A_0457_Y_013_00,Alfons Schneiderlaan  67
459,20112,bodemsanering,0,,Alfons Schneiderlaan,67,,,DE,2100,Antwerpen,11344_A_0461_H_007_00,Alfons Schneiderlaan  67
460,20112,bodemsanering,0,,Alfons Schneiderlaan,67,,,DE,2100,Antwerpen,11344_A_0462_V_004_00,Alfons Schneiderlaan  67
461,20113,bodemsanering,0,,Blauweweg,245,247,,AN,2030,Antwerpen,11814_A_0269_K_008_00,Blauweweg  245
462,20114,de melding van een nieuwe inrichting,3,I.M.E.A,Bredabaan,891,893,,ME,2170,Antwerpen,11423_B_0233_E_002_00,Bredabaan  891
463,20115,de melding van een nieuwe inrichting,3,De Witte Waanzin,Oranjestraat,78a,,,AN,2060,Antwerpen,11807_G_0226_V_004_00,Oranjestraat  78a
464,20116,de melding van een nieuwe inrichting,3,Infrabel,Noorderlaan,630,,,AN,2030,Antwerpen,11816_B_0192_T_000_00,Noorderlaan  630
465,20117,de melding van een nieuwe inrichting,3,Van Asbroeck Jozef,Letterkundestraat,1,3,,WI,2610,Antwerpen,11462_A_0134_G_015_00,Letterkundestraat  1
466,20118,de melding van een nieuwe inrichting,3,Capelle Daniel,Sint-Jansplein,35,,,AN,2060,Antwerpen,11805_E_0523_Z_000_00,Sint-Jansplein  35
467,20119,bodemsanering,0,,Noorderlaan,111,,,AN,2030,Antwerpen,11807_G_1671_P_000_00,Noorderlaan  111
468,20119,bodemsanering,0,,Noorderlaan,111,,,AN,2030,Antwerpen,11807_G_1671_S_000_00,Noorderlaan  111
469,20121,"de mededeling van een kleine verandering van een bestaande inrichting tweede klasse, omvattende",2,Cofinimmo nv,Posthofbrug,10,16,,BE,2600,Antwerpen,11003_A_0160_K_002_00,Posthofbrug  10
470,20122,de melding van verandering van een bestaande inrichting derde klasse die na verandering in de derde klasse blijft ingedeeld en die geen milieutechnische eenheid vormt met een inrichting vergund als klasse 1 of klasse 2,3,KPN Group Belgium,Ruggeveldlaan,471,,,DE,2100,Antwerpen,11345_B_0119_H_000_00,Ruggeveldlaan  471
471,20123,de exploitatie van een nieuwe inrichting,2,Jeugdhuis Tel 18 - Telex vzw,Waterstraat,16,,,EK,2180,Antwerpen,11364_F_0111_H_002_00,Waterstraat  16
472,20124,de melding van verandering van een bestaande inrichting derde klasse die na verandering in de derde klasse blijft ingedeeld en die geen milieutechnische eenheid vormt met een inrichting vergund als klasse 1 of klasse 2,3,KPN Group Belgium,Jagersstraat,23,25,,BO,2140,Antwerpen,11006_A_0260_C_004_00,Jagersstraat  23
473,20125,"het veranderen van een inrichting, met precisering dat het betreft",2,,Jennevalstraat,20,,,BE,2600,Antwerpen,11303_B_0438_E_020_00,Jennevalstraat  20
474,20125,"het veranderen van een inrichting, met precisering dat het betreft",2,,Jennevalstraat,20,,,BE,2600,Antwerpen,11303_B_0438_N_020_00,Jennevalstraat  20
475,20126,de melding van een nieuwe inrichting,3,Meyland Services,Smallandlaan,6B,,,HO,2660,Antwerpen,11382_A_0407_C_000_00,Smallandlaan  6B
476,20127,"het veranderen van een inrichting, met precisering dat het betreft",2,Gemeentelijk Havenbedrijf Antwerpen,Loodglansstraat,7,,,AN,2030,Antwerpen,11807_G_1595_H_000_13,Loodglansstraat  7
477,20127,"het veranderen van een inrichting, met precisering dat het betreft",2,Gemeentelijk Havenbedrijf Antwerpen,Loodglansstraat,7,,,AN,2030,Antwerpen,11807_G_0000___000_00,Loodglansstraat  7
478,20128,het hernieuwen van een vergunning voor een bestaande inrichting,2,Euro-Sweets nv,Eikelstraat,66,68,,BE,2600,Antwerpen,11003_B_0001_Z_008_00,Eikelstraat  66
479,20129,de melding van een nieuwe inrichting,3,Aannemingen Van Wellen,Ellermanstraat,71,81,,AN,2060,Antwerpen,11807_G_1309_K_003_00,Ellermanstraat  71
480,20131,de melding van een nieuwe inrichting,3,Highway 66 Truchwash & Stop,Luithagen-Haven,2,,,AN,2030,Antwerpen,11817_F_0633___000_04,Luithagen-Haven  2
481,20132,erkenning muziekactiviteit,0,,Kazerneplein,,,,AN,2040,Antwerpen,,
482,20133,ioniserende stralingen klasse 2 kleine verandering,2,Janssen Pharmaceutica,Lange Bremstraat,70,,,ME,2170,Antwerpen,11423_B_0182_Z_000_00,Lange Bremstraat  70
483,20133,ioniserende stralingen klasse 2 kleine verandering,2,Janssen Pharmaceutica,Lange Bremstraat,70,,,ME,2170,Antwerpen,11423_B_0182_A_002_00,Lange Bremstraat  70
484,20134,de melding van een nieuwe inrichting,3,Bakkerij Terminus bvba,Bredabaan,756,,,ME,2170,Antwerpen,11422_C_0207_Z_021_00,Bredabaan  756
485,20135,de melding van een nieuwe inrichting,3,Ugur Faruk,Sint-Bernardsesteenweg,627,,,HO,2660,Antwerpen,11019_B_0184_T_005_00,Sint-Bernardsesteenweg  627
486,20136,de melding van verandering van een bestaande inrichting derde klasse die na verandering in de derde klasse blijft ingedeeld en die geen milieutechnische eenheid vormt met een inrichting vergund als klasse 1 of klasse 2,3,Kranen Michielsens nv,Scheldelaan,16,,,AN,2030,Antwerpen,11815_B_0250_Z_000_00,Scheldelaan  16
487,20137,"het veranderen van een inrichting, met precisering dat het betreft",1,Scheepsherstellersbedrijf Van Rousselt,Kempenstraat,9,,,AN,2030,Antwerpen,11807_G_0167_A_000_12,Kempenstraat  9
488,20138,"het veranderen van een inrichting, met precisering dat het betreft",1,Lanxess nv - Victor Peeters O.I.W. nv,Scheldelaan,420,,,AN,2040,Antwerpen,11816_D_0081_A_000_02,Scheldelaan  420
489,20138,"het veranderen van een inrichting, met precisering dat het betreft",1,Lanxess nv - Victor Peeters O.I.W. nv,Scheldelaan,420,,,AN,2040,Antwerpen,11816_D_0081_B_000_02,Scheldelaan  420
490,20138,"het veranderen van een inrichting, met precisering dat het betreft",1,Lanxess nv - Victor Peeters O.I.W. nv,Scheldelaan,420,,,AN,2040,Antwerpen,11816_D_0081_D_000_02,Scheldelaan  420
491,20138,"het veranderen van een inrichting, met precisering dat het betreft",1,Lanxess nv - Victor Peeters O.I.W. nv,Scheldelaan,420,,,AN,2040,Antwerpen,11816_D_0081_E_000_02,Scheldelaan  420
492,20138,"het veranderen van een inrichting, met precisering dat het betreft",1,Lanxess nv - Victor Peeters O.I.W. nv,Scheldelaan,420,,,AN,2040,Antwerpen,11816_D_0081_L_000_02,Scheldelaan  420
493,20138,"het veranderen van een inrichting, met precisering dat het betreft",1,Lanxess nv - Victor Peeters O.I.W. nv,Scheldelaan,420,,,AN,2040,Antwerpen,11816_D_0081_N_000_02,Scheldelaan  420
494,20138,"het veranderen van een inrichting, met precisering dat het betreft",1,Lanxess nv - Victor Peeters O.I.W. nv,Scheldelaan,420,,,AN,2040,Antwerpen,11816_D_0081_V_000_02,Scheldelaan  420
495,20138,"het veranderen van een inrichting, met precisering dat het betreft",1,Lanxess nv - Victor Peeters O.I.W. nv,Scheldelaan,420,,,AN,2040,Antwerpen,11816_D_0082_C_000_02,Scheldelaan  420
496,20138,"het veranderen van een inrichting, met precisering dat het betreft",1,Lanxess nv - Victor Peeters O.I.W. nv,Scheldelaan,420,,,AN,2040,Antwerpen,11816_F_0234_B_002_00,Scheldelaan  420
497,20138,"het veranderen van een inrichting, met precisering dat het betreft",1,Lanxess nv - Victor Peeters O.I.W. nv,Scheldelaan,420,,,AN,2040,Antwerpen,11816_F_0234_D_002_00,Scheldelaan  420
498,20138,"het veranderen van een inrichting, met precisering dat het betreft",1,Lanxess nv - Victor Peeters O.I.W. nv,Scheldelaan,420,,,AN,2040,Antwerpen,11816_F_0234_E_002_00,Scheldelaan  420
